date,nav,daily_pnl,position,pos_size_bbl,roll_cost,action,crack,z_score
2023-11-03,1552999.87,0.0,0,0,0.0,hold,22.0512,0.6239
2023-11-06,1552999.87,0.0,0,0,0.0,hold,23.1188,1.2714
2023-11-07,1552999.87,0.0,0,0,0.0,hold,23.0632,1.2983
2023-11-08,1552999.87,0.0,0,0,0.0,hold,22.7568,1.1678
2023-11-09,1552999.87,0.0,0,0,0.0,hold,22.8298,1.202
2023-11-10,1552999.87,0.0,0,0,0.0,hold,22.5394,1.0605
2023-11-13,1552999.87,0.0,0,0,0.0,hold,24.0954,1.7452
2023-11-14,1552999.87,0.0,0,0,0.0,hold,23.6978,1.4603
2023-11-15,1552999.87,0.0,0,0,0.0,hold,25.1522,1.9507
2023-11-16,1552999.87,0.0,0,0,0.0,hold,24.4336,1.5631
2023-11-17,1552999.87,0.0,0,0,0.0,hold,24.091,1.3619
2023-11-20,1552999.87,0.0,0,0,0.0,hold,24.621,1.6417
2023-11-21,1552999.87,0.0,0,0,0.0,hold,25.725,2.054
2023-11-22,1552107.37,0.0,-1,17000,0.0,enter,25.8546,1.9678
2023-11-23,1564935.51,12828.14,-1,17000,0.0,hold,25.1,1.5334
2023-11-24,1570331.34,5395.83,-1,17000,0.0,hold,24.7826,1.3214
2023-11-27,1551203.04,-19128.3,-1,17000,0.0,hold,25.9078,1.786
2023-11-28,1537259.62,-13943.42,-1,17000,0.0,hold,26.728,1.9922
2023-11-29,1540798.95,3539.33,-1,17000,0.0,hold,26.5198,1.7585
2023-11-30,1562191.79,21392.83,-1,17000,0.0,hold,25.2614,1.1281
2023-12-01,1607405.01,45553.22,-1,17000,340.0,hold,22.5818,-0.17
2023-12-04,1583195.27,-23317.23,0,0,0.0,exit,23.9534,0.4904
2023-12-05,1583195.27,0.0,0,0,0.0,hold,23.7438,0.3528
2023-12-06,1583195.27,0.0,0,0,0.0,hold,23.5324,0.1966
2023-12-07,1583195.27,0.0,0,0,0.0,hold,22.3824,-0.4531
2023-12-08,1583195.27,0.0,0,0,0.0,hold,22.2984,-0.5523
2023-12-11,1583195.27,0.0,0,0,0.0,hold,22.4086,-0.5515
2023-12-12,1583195.27,0.0,0,0,0.0,hold,21.9252,-0.8566
2023-12-13,1583195.27,0.0,0,0,0.0,hold,22.9006,-0.301
2023-12-14,1583195.27,0.0,0,0,0.0,hold,24.0246,0.3893
2023-12-15,1583195.27,0.0,0,0,0.0,hold,25.0972,1.0587
2023-12-18,1583195.27,0.0,0,0,0.0,hold,25.4012,1.1965
2023-12-19,1583195.27,0.0,0,0,0.0,hold,26.2176,1.6314
2023-12-20,1583195.27,0.0,0,0,0.0,hold,25.3186,0.957
2023-12-21,1583195.27,0.0,0,0,0.0,hold,24.3032,0.1946
2023-12-22,1583195.27,0.0,0,0,0.0,hold,23.3396,-0.5874
2023-12-26,1583195.27,0.0,0,0,0.0,hold,22.2256,-1.4002
2023-12-27,1583195.27,0.0,0,0,0.0,hold,22.9646,-0.8537
2023-12-28,1583195.27,0.0,0,0,0.0,hold,22.4038,-1.2019
